,id,native,language,text
1695,3526,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","I'd like to be at ease when I speak english and not searching for a word every 3 words ^^'. I have lived a bit in London few years ago but now I don't have the occasion to practice it and I feel like I regressed a lot. I like hiking, art, photography, diy, a lot of things can interest me actually! (I'm trying to learn spanish too, so maybe I'll try to practice it here later (so far I'm reaaaally beginer."
1696,3530,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I would like to improve my English because... I have a bad pronociation, soetimes I'm not to bad but, sometimes I'm the worst. I need to be better with the verb tenses when I have conversation. I often mixed up my English because I often thinking in French when I want to talk in English."
1697,3531,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Portuguese', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]",I would like to improve my english skills...i'm preparing my world trip and it would be easier if i get a better english... Is there someone to help me? I help you with french in return :)
1698,3532,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello, my Name is Diana, I'm French and I live in Paris. I'm looking for someone to help me improve my English. I would like to speak with a native english person (Face to face or other). I’d be glad to meet people and happy to help you with your French in return."
1699,3533,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 70.71428571428572, 'proficiency': 'Advanced'}]","I am looking for an english penpal. In exchange, I can help you with your french."
1700,3538,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hey ! I'm looking for a correspondant who comes from USA, because i need to practice my english, and why not my correspondant could visit me at home in France, and i could visit her/him at her/his home :). I love to learn new skills and travel, i'm a simply guy, so don't hesitate to speak with me :D Thanks for reading my description and i wish you the best !"
1701,3539,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I’m 18 and I would like to practice my English.
1702,3540,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",French retired lawyer with a good command of English an Spanish
1703,3543,French,"[{'language': 'Czech', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'Spanish', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Ahoj, I would like to improve my czech with a native speaking person, in return I will be glad to help you if you learn french."
1704,3544,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Korean', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Hiii :)) I'm Flavy, 18 and living in France. I'm here because I really need to improve my english skills especially for my studies / work. I also want to learn korean and discover this culture because I plan to live in Korea after my studies for my work but I don't know where to start. So, I'm looking for any natives or good english / korean speakers in order to chat and, maybe, become friends ! I can also teach you french if you wish. I would be delighted to introduce you to our culture ^^"
1705,3546,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I m Aurélie and l would like too be fluante in English for make business .
1706,3549,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Spanish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Bahasa (Indonesia)', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Arabic (Moroccan)', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Hello, I’m Nico and I’m here to improve my English but not only that maybe find friends that can help me learn other languages such as Japanese/Spanish/Bahasa (Indonesian) and also Darija! If you’re interested only in chatting to improve your skills in English or French hmu!"
1707,3551,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",Here to learn new languages and talk to nice people.
1708,3552,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]",I'm still looking for English and Spanish people who want to improve their French. My English level is upper intermediate but I'm a beginner in Spanish.I'd like to find somebody who won't hesitate to CORRECT me (I'll do the same for you) because having opportunities to speak with a native is very nice but being corrected is even nicer. It can be fun and challenging. I'm as motivated to learn as to help you. Don't hesitate to contact me to try. Hope to hear from you soon.
1709,3553,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi I'm from France. I'd like to practice my English , , just talk to people to make progress! I'll be happy to help you with your French !"
1710,3554,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello I'm 45 year old and a mother of Three daughters , i enjoy taking time to discuss with people from different horizon to learn about other culture and other person also. Taking a virtual coffee break with some of you will be a pleasure to practice in a more informal way my english and helping you to learn french too. Look forward to speack with you"
1711,3555,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi, nice to meet you, i'm Lynn :) Hope you have a nice day !"
1712,3556,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello, I Speek French and I want to practice my English. I need to talk in English and I want to find someone to have this the opportunitie. I can help you with your french conversation. I love to learn about other country, history... I want to find someone to take one or two times a week for 20 to 30 min."
1713,3557,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 45, 'proficiency': 'Intermediate'}]",I am Junaid recently I have completed my graduation now I am doing IELTS course. I will go to study abroad. It's really important for me to practice with a English native speaker to do well in speaking module of IELTS test
1714,3560,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi, I just subscribe me to exchange with other people. i want to improve in English. I am available to make call if you want."
1715,3561,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I am in second French preparatory class (scientific) to prepare the contest to access to best french schools of engineering. I like (and I do) travels, I'm crazy about music (except metal and rave musics). I practice tennis, ski; I'd practice table-tennis, handball, swimming, wind boat. I would like to improve my English, and, why not, help someone to learn french, and know new guys."
1716,3562,French,"[{'language': 'Italian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi i'm Alex, 24 years old, P.E teacher, need improve my italian &amp; english by the way. I will travel in Italy to discover how works Handicap system because I work with mentally disabled childrens."
1717,3563,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I really need to improve my skills in english because it's necessary for my dream job to talk well in this language (and maybe another but I'll think about it later). Otherwise, I'm really friendly but just a little shy at first. I do have many hobbies which change and evolve regularly, meaning I could talk forever about anything. Hope we'll become good friend, Cass."
